Sorszám;Munka;Neme;Életkor;Megvalósító vagy célkijelölő;Életciklus;Sorstípus;Sérult-e Nap;Sérült-e a Hold;Hyleg;Anaréta;1. ház jegye;2. ház jegye;3. ház jegye;4. ház jegye;5. ház jegye;6. ház jegye;7. ház jegye;8. ház jegye;9. ház jegye;10. ház jegye;11. ház jegye;12. ház jegye;nap jegye;hold jegye;merkúr jegye;vénusz jegye;mars jegye;jupiter jegye;szaturnusz jegye;uránusz jegye;neptun jegye;pluto jegye;1. ház urának háza;2. ház urának háza;3. ház urának háza;4. ház urának háza;5. ház urának háza;6. ház urának háza;7. ház urának háza;8. ház urának háza;9. ház urának háza;10. ház urának háza;11. ház urának háza;12. ház urának háza;nap háza;hold háza;merkúr háza;vénusz háza;mars háza;jupiter háza;szaturnusz háza;uránusz háza;neptun háza;pluto háza;nap <fényszög> hold;nap <fényszög> merkur;nap <fényszög> venusz;nap <fényszög> mars;nap <fényszög> jupiter;nap <fényszög> szaturnusz;nap <fényszög> uranusz;nap <fényszög> neptun;nap <fényszög> pluto;hold <fényszög> merkur;hold <fényszög> venusz;hold <fényszög> mars;hold <fényszög> jupiter;hold <fényszög> szaturnusz;hold <fényszög> uranusz;hold <fényszög> neptun;hold <fényszög> pluto;merkur <fényszög> venusz;merkur <fényszög> mars;merkur <fényszög> jupiter;merkur <fényszög> szaturnusz;merkur <fényszög> uranusz;merkur <fényszög> neptun;merkur <fényszög> pluto;venusz <fényszög> mars;venusz <fényszög> jupiter;venusz <fényszög> szaturnusz;venusz <fényszög> uranusz;venusz <fényszög> neptun;venusz <fényszög> pluto;mars <fényszög> jupiter;mars <fényszög> szaturnusz;mars <fényszög> uranusz;mars <fényszög> neptun;mars <fényszög> pluto;jupiter <fényszög> szaturnusz;jupiter <fényszög> uranusz;jupiter <fényszög> neptun;jupiter <fényszög> pluto;szaturnusz <fényszög> uranusz;szaturnusz <fényszög> neptun;szaturnusz <fényszög> pluto;uranusz <fényszög> neptun;uranusz <fényszög> pluto;neptun <fényszög> pluto
1;['informatikus', 'programozó'];férfi;20;célkijelölő;hold-mars;önfeláldozó vagy áldozat;- nap;a hold nem sérült;ASC;Nincs anaréta;bak;vízöntő;kos;bika;bika;ikrek;rák;oroszlán;mérleg;skorpió;skorpió;nyilas;oroszlán;szűz;szűz;rák;nyilas;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;6;12;7;7;8;8;8;nincs hazur;nincs hazur;nincs hazur;nincs hazur;8;8;8;7;12;7;6;2;1;12;konjukcio;-;-;trigon;-;-;oppozicio;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;kvadrat;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;trigon;oppozicio;-;-;-
2;[];nő;20;célkijelölő;hold-vénusz;kiszolgáltatott;+ nap;- hold;ASC;Nincs anaréta;bak;halak;kos;bika;ikrek;rák;rák;szűz;mérleg;skorpió;nyilas;bak;ikrek;nyilas;ikrek;bika;nyilas;ikrek;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;5;nincs hazur;3;nincs hazur;12;12;6;nincs hazur;12;nincs hazur;nincs hazur;5;12;6;3;12;5;4;1;1;12;-;-;-;-;konjukcio;-;-;trigon;oppozicio;oppozicio;-;konjukcio;oppozicio;-;-;-;-;-;oppozicio;konjukcio;-;trigon;-;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;trigon;-;oppozicio;-;trigon;oppozicio;-;-;-
3;[];férfi;18;célkijelölő;hold-mars;önfeláldozó vagy áldozat;- nap;a hold nem sérült;hold;Nincs anaréta;mérleg;mérleg;skorpió;bak;vízöntő;halak;kos;kos;bika;rák;oroszlán;szűz;kos;kos;kos;ikrek;ikrek;szűz;rák;halak;vízöntő;nyilas;nincs hazur;nincs hazur;9;nincs hazur;10;12;nincs hazur;nincs hazur;9;7;8;8;8;7;8;9;9;12;10;6;5;3;-;konjukcio;-;-;-;-;-;-;trigon;konjukcio;-;-;-;-;-;-;trigon;-;-;-;-;-;-;trigon;konjukcio;kvadrat;-;kvadrat;trigon;-;-;-;-;trigon;oppozicio;-;oppozicio;-;-;trigon;-;-;-;-;-
4;['informatikus', 'programozó'];férfi;20;célkijelölő;hold-mars;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;nap;asc (oppozíció);szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;halak;halak;halak;kos;bika;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;8;9;nincs hazur;9;nincs hazur;10;nincs hazur;nincs hazur;6;7;7;7;7;6;8;9;10;9;6;5;4;konjukcio;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;kvadrat;-;-;trigon;kvadrat;konjukcio;-;-;-;kvadrat;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;trigon;-;-;-;-
5;['földműves', 'biztonsági őr'];férfi;50;megvalósitó;jupiter;önfeláldozó vagy áldozat;a nap nem sérült;+ hold;nap;hold (oppozíció);vízöntő;halak;bika;bika;ikrek;rák;oroszlán;szűz;skorpió;skorpió;nyilas;bak;szűz;halak;oroszlán;szűz;vízöntő;skorpió;ikrek;mérleg;nyilas;szűz;4;10;nincs hazur;nincs hazur;7;1;7;nincs hazur;nincs hazur;nincs hazur;nincs hazur;nincs hazur;7;1;7;7;1;10;4;8;10;8;oppozicio;-;konjukcio;-;-;kvadrat;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;kvadrat;-;-;kvadrat;-;-;-;-;-;-;-;-;trigon;-;-;-;oppozicio;-;konjukcio;-;trigon;oppozicio;trigon;-;-;-
6;[];férfi;22;célkijelölő;nap;kiszolgáltatott;- nap;+ hold;ASC;Nincs anaréta;nyilas;bak;vízöntő;kos;kos;bika;ikrek;rák;oroszlán;mérleg;mérleg;skorpió;oroszlán;kos;rák;szűz;skorpió;bika;bika;vízöntő;vízöntő;nyilas;nincs hazur;5;nincs hazur;nincs hazur;nincs hazur;9;nincs hazur;5;8;nincs hazur;nincs hazur;11;8;5;8;9;11;5;5;2;2;1;-;-;-;kvadrat;kvadrat;kvadrat;oppozicio;-;-;kvadrat;-;-;-;-;-;kvadrat;-;-;-;kvadrat;-;-;oppozicio;-;-;trigon;-;-;-;-;-;oppozicio;-;-;-;-;-;kvadrat;-;kvadrat;-;-;-;-;-
7;[];nő;0;célkijelölő;hold;kiszolgáltatott;+ nap;- hold;ASC;Nincs anaréta;rák;oroszlán;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;skorpió;vízöntő;skorpió;bak;skorpió;vízöntő;vízöntő;bika;halak;bak;8;5;nincs hazur;nincs hazur;nincs hazur;nincs hazur;nincs hazur;7;8;5;6;5;5;8;5;6;5;8;7;11;9;7;kvadrat;-;-;-;kvadrat;-;oppozicio;trigon;-;-;-;-;konjukcio;-;-;-;-;-;konjukcio;-;kvadrat;oppozicio;-;-;-;-;-;trigon;-;-;-;kvadrat;oppozicio;-;-;-;-;-;-;kvadrat;-;-;-;-;-
8;['vendéglátás'];nő;19;megvalósitó;hold-vénusz;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;nyilas;mérleg;nyilas;skorpió;mérleg;oroszlán;ikrek;vízöntő;vízöntő;nyilas;3;2;2;11;10;nincs hazur;nincs hazur;nincs hazur;nincs hazur;nincs hazur;2;3;3;2;3;2;2;11;10;6;5;3;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;trigon;-;-;-;-;-;-;-;-;konjukcio;konjukcio;-;-;trigon;kvadrat;-;-;-;trigon;-;-;-;oppozicio;-;-;trigon;-;-;-;-;-
9;[];nő;24;megvalósító;hold;kiszolgáltatott;+ nap;a hold nem sérült;nap;szaturnusz (kvadrát);mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;rák;szűz;oroszlán;oroszlán;mérleg;vízöntő;kos;vízöntő;bak;nyilas;10;1;5;nincs hazur;7;nincs hazur;nincs hazur;nincs hazur;10;11;9;nincs hazur;9;11;10;10;1;5;7;4;4;2;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;oppozicio;-;-;oppozicio;trigon;oppozicio;-;-;-;-;trigon;-;-;-;-;-;-;-;-;-;-;-;-
10;['testnevelő', 'tanár'];férfi;52;célkijelölő;jupiter;önfeláldozó;a nap nem sérült;a hold nem sérült;nap;mars (oppozíció);oroszlán;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;ikrek;vízöntő;ikrek;kos;nyilas;szűz;bika;szűz;skorpió;szűz;11;nincs hazur;nincs hazur;nincs hazur;nincs hazur;nincs hazur;10;2;4;9;10;7;11;7;10;9;4;2;10;2;4;2;trigon;-;-;oppozicio;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;oppozicio;-;-;-;oppozicio;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;konjukcio;-;konjukcio;-;-;-;-;konjukcio;-
